03:24:28 - 117.1.106.128
03:25:31 - 117.1.106.128
03:26:34 - 117.1.106.128
03:27:38 - 117.1.106.128
03:28:40 - 117.1.106.128
03:45:17 - 117.6.160.51
04:19:40 - 123.16.28.115
04:19:47 - 123.16.28.115
04:19:59 - 123.16.28.115
04:20:15 - 123.16.28.115
04:20:26 - 123.16.28.115
04:20:49 - 123.16.28.115
04:26:15 - 2405:4800:1084:9f03:4d38:3396:18c1:4fed, 66.249.82.75
06:26:39 - 10.221.8.172, 118.70.133.130
06:27:11 - 118.71.64.129
06:27:41 - 10.221.8.172, 42.112.41.68
06:28:43 - 10.221.8.172, 14.160.32.152
06:29:32 - 118.71.64.129
06:29:45 - 10.221.8.172, 42.112.41.68
06:29:49 - 118.71.64.129
06:30:06 - 118.71.64.129
06:30:24 - 118.71.64.129
06:30:47 - 10.221.8.172, 42.112.41.68
06:31:49 - 10.221.8.172, 14.160.32.152
06:32:51 - 10.221.8.172, 118.70.133.130
06:33:53 - 10.221.8.172, 118.70.133.130
06:34:56 - 10.221.8.172, 42.112.41.68
06:35:58 - 10.221.8.172, 118.70.133.130
06:37:00 - 10.221.8.172, 14.160.32.152
06:38:02 - 10.221.8.172, 14.160.32.152
06:39:04 - 10.221.8.172, 118.70.133.130
06:40:06 - 10.221.8.172, 42.112.41.68
06:41:08 - 10.221.8.172, 118.70.133.130
06:42:10 - 10.221.8.172, 42.112.41.68
06:43:12 - 10.221.8.172, 118.70.133.130
06:44:16 - 10.221.8.172, 14.160.32.152
06:45:18 - 10.221.8.172, 42.112.41.68
06:46:20 - 10.221.8.172, 118.70.133.130
06:46:56 - 10.221.8.172, 14.160.32.152
06:47:04 - 10.221.8.172, 14.160.32.152
06:48:06 - 10.221.8.172, 118.70.133.130
06:48:52 - 10.221.8.172, 14.160.32.152
06:49:34 - 10.221.8.172, 14.160.32.152
06:50:36 - 10.221.8.172, 42.112.41.68
06:51:38 - 10.221.8.172, 42.112.41.68
06:52:10 - 10.221.8.172, 14.160.32.152
06:52:35 - 10.221.8.172, 118.70.133.130
06:53:13 - 10.221.8.172, 14.160.32.152
06:54:15 - 10.221.8.172, 42.112.41.68
06:55:17 - 10.221.8.172, 42.112.41.68
06:56:19 - 10.221.8.172, 14.160.32.152
06:57:21 - 10.221.8.172, 42.112.41.68
06:58:23 - 10.221.8.172, 118.70.133.130
06:59:25 - 10.221.8.172, 118.70.133.130
07:00:29 - 10.221.8.172, 14.160.32.152
07:01:32 - 10.221.8.172, 118.70.133.130
07:02:34 - 10.221.8.172, 118.70.133.130
07:03:37 - 10.221.8.172, 118.70.133.130
07:04:39 - 10.221.8.172, 14.160.32.152
07:05:36 - 10.221.8.172, 14.160.32.152
07:06:38 - 10.221.8.172, 42.112.41.68
07:06:46 - 10.221.8.172, 14.160.32.152
07:07:47 - 10.221.8.172, 14.160.32.152
07:08:50 - 10.221.8.172, 118.70.133.130
07:09:52 - 10.221.8.172, 14.160.32.152
07:10:03 - 10.221.8.172, 14.160.32.152
07:10:38 - 10.221.8.172, 14.160.32.152
07:11:28 - 10.221.8.172, 14.160.32.152
07:11:48 - 10.221.8.172, 14.160.32.152
07:12:21 - 10.221.8.172, 14.160.32.152
07:12:55 - 10.221.8.172, 14.160.32.152
07:13:26 - 10.221.8.172, 14.160.32.152
07:13:51 - 10.221.8.172, 118.70.133.130
07:14:07 - 10.221.8.172, 118.70.133.130
07:15:09 - 10.221.8.172, 42.112.41.68
07:15:44 - 10.221.8.172, 42.112.41.68
07:16:46 - 10.221.8.172, 14.160.32.152
07:17:49 - 10.221.8.172, 14.160.32.152
07:18:51 - 10.221.8.172, 42.112.41.68
07:19:53 - 10.221.8.172, 42.112.41.68
07:20:54 - 10.221.8.172, 118.70.133.130
07:21:56 - 10.221.8.172, 118.70.133.130
07:22:52 - 27.67.8.224
07:22:58 - 10.221.8.172, 14.160.32.152
07:23:59 - 10.221.8.172, 118.70.133.130
07:25:00 - 10.221.8.172, 42.112.41.68
07:26:02 - 10.221.8.172, 118.70.133.130
07:27:03 - 10.221.8.172, 118.70.133.130
07:28:05 - 10.221.8.172, 118.70.133.130
07:29:06 - 10.221.8.172, 118.70.133.130
07:30:07 - 10.221.8.172, 42.112.41.68
07:31:08 - 10.221.8.172, 118.70.133.130
07:31:39 - 10.221.8.172, 14.160.32.152
07:32:40 - 10.221.8.172, 118.70.133.130
07:33:42 - 10.221.8.172, 42.112.41.68
07:34:40 - 10.221.8.172, 14.160.32.152
07:35:42 - 10.221.8.172, 42.112.41.68
07:35:59 - 10.221.8.172, 14.160.32.152
07:37:01 - 10.221.8.172, 42.112.41.68
07:38:03 - 10.221.8.172, 42.112.41.68
07:38:32 - 10.221.8.172, 14.160.32.152
07:38:45 - 10.221.8.172, 14.160.32.152
07:39:00 - 10.221.8.172, 14.160.32.152
07:39:36 - 10.221.8.172, 14.160.32.152
07:40:38 - 10.221.8.172, 14.160.32.152
07:41:40 - 10.221.8.172, 118.70.133.130
07:42:42 - 10.221.8.172, 42.112.41.68
07:43:44 - 10.221.8.172, 42.112.41.68
07:44:46 - 10.221.8.172, 14.160.32.152
07:45:48 - 10.221.8.172, 118.70.133.130
07:46:50 - 10.221.8.172, 14.160.32.152
07:47:52 - 10.221.8.172, 42.112.41.68
07:48:54 - 10.221.8.172, 14.160.32.152
07:49:56 - 10.221.8.172, 42.112.41.68
07:50:58 - 10.221.8.172, 14.160.32.152
07:52:00 - 10.221.8.172, 14.160.32.152
07:53:02 - 10.221.8.172, 118.70.133.130
07:54:04 - 10.221.8.172, 14.160.32.152
07:55:06 - 10.221.8.172, 118.70.133.130
07:55:46 - 10.221.8.172, 14.160.32.152
07:56:20 - 10.221.8.172, 14.160.32.152
07:56:46 - 10.221.8.172, 14.160.32.152
07:57:48 - 10.221.8.172, 42.112.41.68
07:58:12 - 10.221.8.172, 118.70.133.130
07:59:14 - 10.221.8.172, 42.112.41.68
08:00:18 - 10.221.8.172, 42.112.41.68
08:01:20 - 10.221.8.172, 42.112.41.68
08:01:55 - 10.221.8.172, 14.160.32.152
08:02:57 - 10.221.8.172, 118.70.133.130
08:03:51 - 10.221.8.172, 14.160.32.152
08:07:25 - 10.221.8.172, 14.160.32.152
08:08:06 - 10.221.8.172, 14.160.32.152
08:09:03 - 10.221.8.172, 14.160.32.152
08:10:05 - 10.221.8.172, 118.70.133.130
08:11:07 - 10.221.8.172, 118.70.133.130
08:12:09 - 10.221.8.172, 118.70.133.130
08:13:11 - 10.221.8.172, 14.160.32.152
08:14:13 - 10.221.8.172, 14.160.32.152
08:15:16 - 10.221.8.172, 42.112.41.68
08:16:18 - 10.221.8.172, 42.112.41.68
08:17:21 - 10.221.8.172, 42.112.41.68
08:18:23 - 10.221.8.172, 118.70.133.130
08:19:25 - 10.221.8.172, 42.112.41.68
08:20:27 - 10.221.8.172, 14.160.32.152
08:21:29 - 10.221.8.172, 118.70.133.130
08:22:31 - 10.221.8.172, 42.112.41.68
08:23:33 - 10.221.8.172, 42.112.41.68
08:24:36 - 10.221.8.172, 14.160.32.152
08:25:38 - 10.221.8.172, 14.160.32.152
08:26:40 - 10.221.8.172, 118.70.133.130
08:27:42 - 10.221.8.172, 118.70.133.130
08:28:44 - 10.221.8.172, 42.112.41.68
08:29:46 - 10.221.8.172, 118.70.133.130
08:30:48 - 10.221.8.172, 118.70.133.130
08:31:50 - 10.221.8.172, 14.160.32.152
08:32:52 - 10.221.8.172, 42.112.41.68
08:33:54 - 10.221.8.172, 42.112.41.68
08:34:56 - 10.221.8.172, 14.160.32.152
08:35:59 - 10.221.8.172, 14.160.32.152
08:37:01 - 10.221.8.172, 42.112.41.68
08:38:03 - 10.221.8.172, 42.112.41.68
08:39:05 - 10.221.8.172, 118.70.133.130
08:40:07 - 10.221.8.172, 118.70.133.130
08:41:09 - 10.221.8.172, 14.160.32.152
08:42:11 - 10.221.8.172, 14.160.32.152
08:43:13 - 10.221.8.172, 42.112.41.68
08:44:15 - 10.221.8.172, 118.70.133.130
08:45:18 - 10.221.8.172, 14.160.32.152
08:46:20 - 10.221.8.172, 42.112.41.68
08:47:22 - 10.221.8.172, 118.70.133.130
08:48:24 - 10.221.8.172, 14.160.32.152
08:49:26 - 10.221.8.172, 42.112.41.68
08:50:28 - 10.221.8.172, 42.112.41.68
08:51:30 - 10.221.8.172, 118.70.133.130
08:52:32 - 10.221.8.172, 14.160.32.152
08:53:34 - 10.221.8.172, 118.70.133.130
08:54:36 - 10.221.8.172, 118.70.133.130
08:55:38 - 10.221.8.172, 118.70.133.130
08:56:40 - 10.221.8.172, 42.112.41.68
08:57:42 - 10.221.8.172, 42.112.41.68
08:58:44 - 10.221.8.172, 118.70.133.130
08:59:46 - 10.221.8.172, 118.70.133.130
09:00:48 - 10.221.8.172, 14.160.32.152
09:01:50 - 10.221.8.172, 42.112.41.68
09:02:52 - 10.221.8.172, 14.160.32.152
09:03:55 - 10.221.8.172, 42.112.41.68
09:36:44 - 10.221.8.172, 14.160.32.152
09:37:47 - 10.221.8.172, 14.160.32.152
09:38:49 - 10.221.8.172, 42.112.41.68
09:39:51 - 10.221.8.172, 42.112.41.68
09:40:53 - 10.221.8.172, 118.70.133.130
09:41:55 - 10.221.8.172, 14.160.32.152
09:42:57 - 10.221.8.172, 14.160.32.152
09:44:00 - 10.221.8.172, 42.112.41.68
09:45:02 - 10.221.8.172, 14.160.32.152
09:46:06 - 10.221.8.172, 42.112.41.68
09:47:08 - 10.221.8.172, 42.112.41.68
09:48:10 - 10.221.8.172, 42.112.41.68
09:49:12 - 10.221.8.172, 14.160.32.152
09:50:14 - 10.221.8.172, 14.160.32.152
09:50:45 - 123.16.28.115
09:51:16 - 10.221.8.172, 118.70.133.130
09:52:18 - 10.221.8.172, 118.70.133.130
09:53:20 - 10.221.8.172, 14.160.32.152
09:54:22 - 10.221.8.172, 14.160.32.152
09:55:24 - 10.221.8.172, 42.112.41.68
09:56:26 - 10.221.8.172, 42.112.41.68
09:57:29 - 10.221.8.172, 118.70.133.130
09:58:31 - 10.221.8.172, 14.160.32.152
09:59:33 - 10.221.8.172, 42.112.41.68
10:00:35 - 10.221.8.172, 118.70.133.130
10:01:37 - 10.221.8.172, 42.112.41.68
10:02:10 - 115.73.176.175
10:02:34 - 115.73.176.175
10:02:39 - 10.221.8.172, 42.112.41.68
10:02:46 - 115.73.176.175
10:03:40 - 10.221.8.172, 118.70.133.130
10:04:42 - 10.221.8.172, 118.70.133.130
10:05:44 - 10.221.8.172, 42.112.41.68
10:06:46 - 10.221.8.172, 42.112.41.68
10:07:48 - 10.221.8.172, 42.112.41.68
10:08:50 - 10.221.8.172, 42.112.41.68
10:09:52 - 10.221.8.172, 118.70.133.130
10:10:54 - 10.221.8.172, 14.160.32.152
10:11:56 - 10.221.8.172, 118.70.133.130
10:12:58 - 10.221.8.172, 14.160.32.152
10:14:01 - 10.221.8.172, 14.160.32.152
10:15:03 - 10.221.8.172, 118.70.133.130
10:16:05 - 10.221.8.172, 118.70.133.130
10:17:07 - 10.221.8.172, 118.70.133.130
10:18:09 - 10.221.8.172, 42.112.41.68
10:19:12 - 10.221.8.172, 42.112.41.68
10:20:15 - 10.221.8.172, 14.160.32.152
10:21:17 - 10.221.8.172, 42.112.41.68
10:22:19 - 10.221.8.172, 42.112.41.68
10:23:22 - 10.221.8.172, 14.160.32.152
10:24:24 - 10.221.8.172, 118.70.133.130
10:25:26 - 10.221.8.172, 42.112.41.68
10:26:28 - 10.221.8.172, 118.70.133.130
10:27:30 - 10.221.8.172, 42.112.41.68
10:28:32 - 10.221.8.172, 118.70.133.130
10:29:34 - 10.221.8.172, 42.112.41.68
10:30:36 - 10.221.8.172, 42.112.41.68
10:31:38 - 10.221.8.172, 118.70.133.130
10:32:40 - 10.221.8.172, 118.70.133.130
10:33:42 - 10.221.8.172, 118.70.133.130
10:34:44 - 10.221.8.172, 118.70.133.130
10:35:46 - 10.221.8.172, 42.112.41.68
10:36:48 - 10.221.8.172, 118.70.133.130
10:37:51 - 10.221.8.172, 42.112.41.68
10:38:53 - 10.221.8.172, 14.160.32.152
10:39:55 - 10.221.8.172, 118.70.133.130
10:40:57 - 10.221.8.172, 14.160.32.152
10:41:59 - 10.221.8.172, 42.112.41.68
10:43:00 - 10.221.8.172, 118.70.133.130
10:44:02 - 10.221.8.172, 42.112.41.68
10:45:04 - 10.221.8.172, 118.70.133.130
10:46:06 - 10.221.8.172, 42.112.41.68
10:47:07 - 10.221.8.172, 14.160.32.152
10:48:09 - 10.221.8.172, 14.160.32.152
10:49:11 - 10.221.8.172, 118.70.133.130
10:50:13 - 10.221.8.172, 14.160.32.152
10:51:22 - 10.221.8.172, 14.160.32.152
10:52:24 - 10.221.8.172, 42.112.41.68
10:53:26 - 10.221.8.172, 42.112.41.68
10:54:28 - 10.221.8.172, 42.112.41.68
10:55:30 - 10.221.8.172, 42.112.41.68
10:56:32 - 10.221.8.172, 118.70.133.130
10:57:34 - 10.221.8.172, 118.70.133.130
10:58:36 - 10.221.8.172, 42.112.41.68
10:59:38 - 10.221.8.172, 14.160.32.152
11:00:40 - 10.221.8.172, 14.160.32.152
11:01:42 - 10.221.8.172, 14.160.32.152
11:02:44 - 10.221.8.172, 42.112.41.68
11:03:46 - 10.221.8.172, 14.160.32.152
11:04:48 - 10.221.8.172, 14.160.32.152
11:05:50 - 10.221.8.172, 14.160.32.152
11:06:53 - 10.221.8.172, 14.160.32.152
11:07:56 - 10.221.8.172, 14.160.32.152
11:08:58 - 10.221.8.172, 14.160.32.152
11:10:00 - 10.221.8.172, 42.112.41.68
11:11:02 - 10.221.8.172, 14.160.32.152
11:12:04 - 10.221.8.172, 14.160.32.152
11:13:06 - 10.221.8.172, 14.160.32.152
11:14:08 - 10.221.8.172, 14.160.32.152
11:15:10 - 10.221.8.172, 42.112.41.68
11:16:12 - 10.221.8.172, 118.70.133.130
11:17:14 - 10.221.8.172, 118.70.133.130
11:18:16 - 10.221.8.172, 14.160.32.152
11:19:19 - 10.221.8.172, 42.112.41.68
11:20:21 - 10.221.8.172, 14.160.32.152
11:21:24 - 10.221.8.172, 14.160.32.152
11:22:26 - 10.221.8.172, 118.70.133.130
11:23:28 - 10.221.8.172, 118.70.133.130
11:24:30 - 10.221.8.172, 118.70.133.130
11:25:33 - 10.221.8.172, 14.160.32.152
11:26:35 - 10.221.8.172, 42.112.41.68
11:27:37 - 10.221.8.172, 42.112.41.68
11:28:44 - 10.221.8.172, 14.160.32.152
11:29:46 - 10.221.8.172, 118.70.133.130
11:30:48 - 10.221.8.172, 14.160.32.152
11:31:52 - 10.221.8.172, 42.112.41.68
11:32:54 - 10.221.8.172, 14.160.32.152
11:33:56 - 10.221.8.172, 118.70.133.130
11:34:58 - 10.221.8.172, 42.112.41.68
11:36:00 - 10.221.8.172, 14.160.32.152
11:37:02 - 10.221.8.172, 118.70.133.130
11:38:04 - 10.221.8.172, 42.112.41.68
11:39:06 - 10.221.8.172, 14.160.32.152
11:40:08 - 10.221.8.172, 42.112.41.68
11:41:10 - 10.221.8.172, 14.160.32.152
11:42:12 - 10.221.8.172, 14.160.32.152
11:43:14 - 10.221.8.172, 118.70.133.130
11:44:16 - 10.221.8.172, 118.70.133.130
11:45:18 - 10.221.8.172, 14.160.32.152
11:46:20 - 10.221.8.172, 42.112.41.68
11:47:22 - 10.221.8.172, 42.112.41.68
11:48:24 - 10.221.8.172, 14.160.32.152
11:49:26 - 10.221.8.172, 118.70.133.130
11:50:28 - 10.221.8.172, 42.112.41.68
11:51:30 - 10.221.8.172, 14.160.32.152
11:52:32 - 10.221.8.172, 42.112.41.68
11:53:34 - 10.221.8.172, 14.160.32.152
11:54:36 - 10.221.8.172, 42.112.41.68
11:55:38 - 10.221.8.172, 14.160.32.152
11:56:41 - 10.221.8.172, 14.160.32.152
11:57:43 - 10.221.8.172, 118.70.133.130
11:58:45 - 10.221.8.172, 118.70.133.130
11:59:47 - 10.221.8.172, 14.160.32.152
12:00:49 - 10.221.8.172, 14.160.32.152
12:01:51 - 10.221.8.172, 14.160.32.152
12:02:53 - 10.221.8.172, 42.112.41.68
12:03:56 - 10.221.8.172, 42.112.41.68
12:04:58 - 10.221.8.172, 42.112.41.68
12:06:00 - 10.221.8.172, 118.70.133.130
12:07:02 - 10.221.8.172, 14.160.32.152
12:08:04 - 10.221.8.172, 14.160.32.152
12:09:06 - 10.221.8.172, 14.160.32.152
12:10:08 - 10.221.8.172, 118.70.133.130
12:11:10 - 10.221.8.172, 14.160.32.152
12:12:12 - 10.221.8.172, 14.160.32.152
12:13:14 - 10.221.8.172, 118.70.133.130
12:14:16 - 10.221.8.172, 14.160.32.152
12:15:19 - 10.221.8.172, 118.70.133.130
12:16:21 - 10.221.8.172, 118.70.133.130
12:17:24 - 10.221.8.172, 118.70.133.130
12:18:26 - 10.221.8.172, 118.70.133.130
12:19:29 - 10.221.8.172, 14.160.32.152
12:20:31 - 10.221.8.172, 42.112.41.68
12:21:33 - 10.221.8.172, 42.112.41.68
12:22:35 - 10.221.8.172, 14.160.32.152
12:23:37 - 10.221.8.172, 14.160.32.152
12:24:39 - 10.221.8.172, 14.160.32.152
12:25:41 - 10.221.8.172, 118.70.133.130
12:26:46 - 10.221.8.172, 118.70.133.130
12:27:48 - 10.221.8.172, 14.160.32.152
12:28:50 - 10.221.8.172, 14.160.32.152
12:29:52 - 10.221.8.172, 118.70.133.130
12:30:54 - 10.221.8.172, 118.70.133.130
12:31:56 - 10.221.8.172, 14.160.32.152
12:32:58 - 10.221.8.172, 42.112.41.68
12:34:00 - 10.221.8.172, 118.70.133.130
12:35:02 - 10.221.8.172, 14.160.32.152
12:36:04 - 10.221.8.172, 118.70.133.130
12:37:06 - 10.221.8.172, 118.70.133.130
12:38:08 - 10.221.8.172, 118.70.133.130
12:39:10 - 10.221.8.172, 14.160.32.152
12:40:12 - 10.221.8.172, 118.70.133.130
12:41:14 - 10.221.8.172, 42.112.41.68
12:42:16 - 10.221.8.172, 118.70.133.130
12:43:18 - 10.221.8.172, 118.70.133.130
12:44:20 - 10.221.8.172, 42.112.41.68
12:45:23 - 10.221.8.172, 42.112.41.68
12:46:25 - 10.221.8.172, 118.70.133.130
12:47:27 - 10.221.8.172, 118.70.133.130
12:48:29 - 10.221.8.172, 42.112.41.68
12:49:31 - 10.221.8.172, 42.112.41.68
12:50:33 - 10.221.8.172, 42.112.41.68
12:51:35 - 10.221.8.172, 14.160.32.152
12:52:37 - 10.221.8.172, 14.160.32.152
12:53:39 - 10.221.8.172, 42.112.41.68
12:54:41 - 10.221.8.172, 118.70.133.130
12:55:43 - 10.221.8.172, 118.70.133.130
12:56:45 - 10.221.8.172, 118.70.133.130
12:57:47 - 10.221.8.172, 42.112.41.68
12:58:49 - 10.221.8.172, 42.112.41.68
12:59:51 - 10.221.8.172, 14.160.32.152
13:00:53 - 10.221.8.172, 14.160.32.152
13:01:55 - 10.221.8.172, 14.160.32.152
13:02:57 - 10.221.8.172, 14.160.32.152
13:03:59 - 10.221.8.172, 42.112.41.68
13:05:01 - 10.221.8.172, 14.160.32.152
13:06:03 - 10.221.8.172, 14.160.32.152
13:07:05 - 10.221.8.172, 118.70.133.130
13:08:07 - 10.221.8.172, 14.160.32.152
13:09:09 - 10.221.8.172, 14.160.32.152
13:10:11 - 10.221.8.172, 14.160.32.152
13:11:13 - 10.221.8.172, 14.160.32.152
13:12:15 - 10.221.8.172, 42.112.41.68
13:13:18 - 10.221.8.172, 42.112.41.68
13:14:20 - 10.221.8.172, 118.70.133.130
13:15:22 - 10.221.8.172, 14.160.32.152
13:16:24 - 10.221.8.172, 14.160.32.152
13:17:26 - 10.221.8.172, 14.160.32.152
13:18:28 - 10.221.8.172, 118.70.133.130
13:19:31 - 10.221.8.172, 14.160.32.152
13:20:33 - 10.221.8.172, 118.70.133.130
13:21:35 - 10.221.8.172, 14.160.32.152
13:22:37 - 10.221.8.172, 42.112.41.68
13:23:39 - 10.221.8.172, 14.160.32.152
13:24:41 - 10.221.8.172, 42.112.41.68
13:25:43 - 10.221.8.172, 14.160.32.152
13:26:45 - 10.221.8.172, 118.70.133.130
13:27:47 - 10.221.8.172, 42.112.41.68
13:28:49 - 10.221.8.172, 14.160.32.152
13:29:51 - 10.221.8.172, 118.70.133.130
13:30:53 - 10.221.8.172, 42.112.41.68
13:31:55 - 10.221.8.172, 118.70.133.130
13:32:57 - 10.221.8.172, 118.70.133.130
13:33:59 - 10.221.8.172, 42.112.41.68
13:35:01 - 10.221.8.172, 118.70.133.130
13:36:03 - 10.221.8.172, 14.160.32.152
13:37:05 - 10.221.8.172, 118.70.133.130
13:38:07 - 10.221.8.172, 14.160.32.152
13:39:09 - 10.221.8.172, 118.70.133.130
13:40:11 - 10.221.8.172, 42.112.41.68
13:41:13 - 10.221.8.172, 42.112.41.68
13:42:20 - 10.221.8.172, 42.112.41.68
13:43:22 - 10.221.8.172, 118.70.133.130
13:44:24 - 10.221.8.172, 42.112.41.68
13:45:26 - 10.221.8.172, 118.70.133.130
13:46:28 - 10.221.8.172, 118.70.133.130
13:47:30 - 10.221.8.172, 118.70.133.130
13:48:32 - 10.221.8.172, 14.160.32.152
13:49:34 - 10.221.8.172, 118.70.133.130
13:50:36 - 10.221.8.172, 118.70.133.130
13:51:38 - 10.221.8.172, 14.160.32.152
13:52:40 - 10.221.8.172, 14.160.32.152
13:53:42 - 10.221.8.172, 42.112.41.68
13:54:44 - 10.221.8.172, 42.112.41.68
13:55:46 - 10.221.8.172, 118.70.133.130
13:56:48 - 10.221.8.172, 118.70.133.130
13:57:50 - 10.221.8.172, 42.112.41.68
13:58:52 - 10.221.8.172, 42.112.41.68
13:59:54 - 10.221.8.172, 118.70.133.130
14:00:56 - 10.221.8.172, 42.112.41.68
14:01:58 - 10.221.8.172, 118.70.133.130
14:03:00 - 10.221.8.172, 14.160.32.152
14:04:02 - 10.221.8.172, 42.112.41.68
14:05:04 - 10.221.8.172, 42.112.41.68
14:06:06 - 10.221.8.172, 42.112.41.68
14:07:08 - 10.221.8.172, 14.160.32.152
14:08:10 - 10.221.8.172, 118.70.133.130
14:08:52 - 42.119.183.12
14:09:12 - 10.221.8.172, 118.70.133.130
14:10:14 - 10.221.8.172, 42.112.41.68
14:11:16 - 10.221.8.172, 118.70.133.130
14:12:18 - 10.221.8.172, 14.160.32.152
14:13:20 - 10.221.8.172, 14.160.32.152
14:14:22 - 10.221.8.172, 14.160.32.152
14:15:24 - 10.221.8.172, 42.112.41.68
14:16:26 - 10.221.8.172, 118.70.133.130
14:17:28 - 10.221.8.172, 42.112.41.68
14:18:30 - 10.221.8.172, 14.160.32.152
14:19:33 - 10.221.8.172, 118.70.133.130
14:20:35 - 10.221.8.172, 14.160.32.152
14:21:37 - 10.221.8.172, 118.70.133.130
14:22:39 - 10.221.8.172, 118.70.133.130
14:23:41 - 10.221.8.172, 42.112.41.68
14:24:43 - 10.221.8.172, 118.70.133.130
14:25:45 - 10.221.8.172, 118.70.133.130
14:26:47 - 10.221.8.172, 42.112.41.68
14:27:49 - 10.221.8.172, 42.112.41.68
14:28:51 - 10.221.8.172, 14.160.32.152
14:29:53 - 10.221.8.172, 118.70.133.130
14:30:55 - 10.221.8.172, 14.160.32.152
14:31:57 - 10.221.8.172, 118.70.133.130
14:32:59 - 10.221.8.172, 14.160.32.152
14:34:01 - 10.221.8.172, 14.160.32.152
14:35:04 - 10.221.8.172, 118.70.133.130
14:36:06 - 10.221.8.172, 14.160.32.152
14:37:08 - 10.221.8.172, 118.70.133.130
14:38:10 - 10.221.8.172, 42.112.41.68
14:39:12 - 10.221.8.172, 14.160.32.152
14:40:14 - 10.221.8.172, 118.70.133.130
14:41:16 - 10.221.8.172, 118.70.133.130
14:42:18 - 10.221.8.172, 42.112.41.68
14:43:20 - 10.221.8.172, 118.70.133.130
14:44:22 - 10.221.8.172, 14.160.32.152
14:45:24 - 10.221.8.172, 42.112.41.68
14:46:26 - 10.221.8.172, 118.70.133.130
14:47:33 - 10.221.8.172, 14.160.32.152
14:48:35 - 10.221.8.172, 118.70.133.130
14:49:37 - 10.221.8.172, 14.160.32.152
14:50:39 - 10.221.8.172, 42.112.41.68
14:51:41 - 10.221.8.172, 118.70.133.130
14:52:43 - 10.221.8.172, 14.160.32.152
14:53:45 - 10.221.8.172, 42.112.41.68
14:54:47 - 10.221.8.172, 42.112.41.68
14:55:49 - 10.221.8.172, 118.70.133.130
14:56:51 - 10.221.8.172, 118.70.133.130
14:57:53 - 10.221.8.172, 42.112.41.68
14:58:55 - 10.221.8.172, 42.112.41.68
14:59:57 - 10.221.8.172, 14.160.32.152
